Candidate,Party,Votes
FILIPE NERY RODRIGUES,Indian National Congress,9176
BENJAMIN SILVA,Independent,4372
CRUZ SILVA,Aam Aadmi Party,3128
VINAY TARI,Bharatiya Janata Party,1288
ANTHONY RODRIGUES,Goa Forward Party,1279
EDRICH CORREIA,Independent,322
DOMNIC JOHN NORONHA,Goa Su-Raj Party,131
FREDERICK BORGES,Nationalist Congress Party,92
JOSE FERNANDES,Independent,90
WILSON MAZARELLO,Independent,86
CONSTANCIO FERNANDES,Independent,70
CLIFFTON D'SOUZA,Ambedkarite Party of India,39
None of the Above,None of the Above,223
