Candidate,Party,Votes
RAVINDRA NATH TRIPATHI,Bharatiya Janata Party,40681
ZAHID BEG,Samajwadi Party,32792
RANGNATH MISHRA,Bahujan Samaj Party,31370
DR. R.K. PATEL,Nirbal Indian Shoshit Hamara Aam Dal,6852
RAMDHANI YADAV,Bahujan Mukti Party,776
KHUSHIYAL CHANDRA,Independent,674
TASAUWAR,Independent,635
KAMLA,Shoshit Sandesh Party,520
JAGANNATH MAURYA,Communist Party of India (Marxist),479
KAPILMUNI SHUKLA,Independent,474
DR. AKHILESH KUMAR DWIVEDI,Rashtriya Lok Dal,394
MAHENDRA KUMAR GOND,Gondvana Gantantra Party,362
RAGHURAJ PAL,Bharatiya Eklavya Party,361
PANKAJ KUMAR,Ojaswi Party,340
RAJESH KUMAR VISHWKARMA,Pragatisheel Manav Samaj Party,335
SURESH GAUTAM,Independent,322
JAY RAM PANDEY,Lok Dal,307
NISHA,Independent,302
DINESH KUMAR TIWARI,Sampoorna Samaj Party,287
RAMJEET,Communist Party of India (Marxist-Leninist) (Liberation),224
BHARAT,Shivsena,217
VALIULLAH ENGINEER,Bahujan Awam Party,191
SARITA,Jan Adhikar Party,151
None of the Above,None of the Above,446
